start_station,dockcount,count
Cyril Magnin St at Ellis St,35,69
5th St at Folsom St,31,173
2nd at Townsend,27,14099
Market at 10th,27,9937
San Jose Diridon Caltrain Station,27,4035
Market at Sansome,27,10970
San Antonio Caltrain Station,23,611
Harry Bridges Plaza (Ferry Building),23,16128
Civic Center BART (7th at Market),23,5043
Golden Gate at Polk,23,3309
Temporary Transbay Terminal (Howard at Beale),23,13111
Palo Alto Caltrain Station,23,1170
Steuart at Market,23,13693
Mountain View Caltrain Station,23,2515
San Francisco Caltrain 2 (330 Townsend),23,22358
South Van Ness at Market,19,5398
MLK Library,19,630
Spear at Folsom,19,5113
San Francisco Caltrain (Townsend at 4th),19,23591
Powell Street BART,19,6826
SJSU 4th at San Carlos,19,363
Howard at 2nd,19,7583
Embarcadero at Folsom,19,7820
Grant Avenue at Columbus Avenue,19,6735
2nd at Folsom,19,7464
Beale at Market,19,7373
Arena Green / SAP Center,19,547
San Francisco City Hall,19,2195
Yerba Buena Center of the Arts (3rd @ Howard),19,3460
Adobe on Almaden,19,789
Market at 4th,19,7337
Powell at Post (Union Square),19,4488
Mechanics Plaza (Market at Battery),19,5613
Broadway St at Battery St,15,5695
Japantown,15,945
Commercial at Montgomery,15,4969
2nd at South Park,15,7722
5th at Howard,15,5436
Embarcadero at Bryant,15,7714
Paseo de San Antonio,15,833
California Ave Caltrain Station,15,392
Embarcadero at Vallejo,15,4710
San Jose Civic Center,15,543
St James Park,15,694
Ryland Park,15,879
San Salvador at 1st,15,540
Townsend at 7th,15,11170
SJSU - San Salvador at 9th,15,481
San Jose City Hall,15,518
Mountain View City Hall,15,1291
Davis at Jackson,15,5240
Embarcadero at Sansome,15,13424
Clay at Battery,15,4357
San Antonio Shopping Center,15,559
Middlefield Light Rail Station,15,66
Park at Olive,15,276
Santa Clara County Civic Center,15,420
Charleston Park/ North Bayshore Area,15,343
San Pedro Square,15,1215
Cowper at University,11,788
University and Emerson,11,490
Castro Street and El Camino Real,11,1014
Santa Clara at Almaden,11,1447
